Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Teammate,Ungrouped,Notes,Flags
260127,3493.595059065659,12.944831374340993,Grey,1,,Box Touch 1, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",,Reversal 1,"Foul Drawn, Shot Qual 4",,,,,
260127,3517.983,4.15318648199991,Grey,2,+1,Box Touch 0, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",,Reversal 0,Shot Qual 4,,,,,
260127,3527.0983226489943,14.577557833005812,Grey,3,+2,Box Touch 0, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",,Reversal 1,Shot Qual 3,,,,,
260127,3559.4983005253316,21.458949789668168,Grey,4,+3,Box Touch 0, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",,Reversal 2,Shot Qual 3,,,,,
260127,3874.162,17.76555323299999,Grey,5,,Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #32 Jack Karasinki | #44 Jacob Wassler,War Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #32 Jack Karasinki, #44 Jacob Wassler",Half Court,Reversal 1,No Shot,,,,,
260127,3908.598360315667,25.493158833332927,Grey,6,"D REB, -3",Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #10 Grant Whitaker | #32 Jack Karasinki | #44 Jacob Wassler,War Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #10 Grant Whitaker, #32 Jack Karasinki, #44 Jacob Wassler",Half Court,Reversal 2,Shot Qual 2,,,,,
260127,4014.087895066,7.73573129100032,Grey,7,D REB,, | #2 Tyler Doyle | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald,War Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald",Half Court,,,,,,,
260127,4032.1786699166473,20.250168661352745,Grey,8,"Crash, Deflection, D REB, +3",Box Touch 1, | #2 Tyler Doyle | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald,War Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald",Half Court,Reversal 2,Shot Qual 3,,,,,
260127,4123.691,22.57281510699977,Grey,9,"D REB, +3",Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #10 Grant Whitaker | #23 Sam Donald | #44 Jacob Wassler,War Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #10 Grant Whitaker, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 3,Shot Qual 3,,,,,
260127,4169.599171814984,25.911598084015168,Grey,10,"D REB, Deflection, -3",Box Touch 0, | #2 Tyler Doyle | #8 Kenyon Goodin | #10 Grant Whitaker | #23 Sam Donald | #44 Jacob Wassler,War Scramble,"#2 Tyler Doyle, #8 Kenyon Goodin, #10 Grant Whitaker, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 3,Shot Qual 2,,,,,
